Settle time (s),Measured Distance (cm), Error to real distance = 0 cm
0.276,6869.04,-6869.04
0.276,6868.95,-6868.95
0.276,6813.63,-6813.63
0.277,6869.21,-6869.21
0.277,6868.97,-6868.97
0.277,6813.44,-6813.44
0.278,1034.88,-1034.88
0.278,6868.88,-6868.88
0.278,6868.69,-6868.69
0.279,6868.76,-6868.76
0.279,6812.5,-6812.5
0.279,6868.11,-6868.11
0.28,6868.35,-6868.35
0.28,6812.27,-6812.27
0.28,6868.09,-6868.09
0.281,6867.89,-6867.89
0.281,6812.49,-6812.49
0.281,6868.3,-6868.3
0.282,528.79,-528.79
0.282,6868.08,-6868.08
0.282,576.96,-576.96
0.283,6868.16,-6868.16
0.283,6867.77,-6867.77
0.283,6812.39,-6812.39
0.284,6868.18,-6868.18
0.284,6867.96,-6867.96
0.284,6812.7,-6812.7
0.285,6868.04,-6868.04
0.285,6868.37,-6868.37
0.285,6812.65,-6812.65
0.286,6868.04,-6868.04
0.286,6868.06,-6868.06
0.286,6812.41,-6812.41
0.287,6867.84,-6867.84
0.287,3858.8,-3858.8
0.287,6812.24,-6812.24
0.288,6868.13,-6868.13
0.288,6867.55,-6867.55
0.288,6812.72,-6812.72
0.289,6867.75,-6867.75
0.289,6867.72,-6867.72
0.289,6812.41,-6812.41
0.29,6867.72,-6867.72
0.29,6868.03,-6868.03
0.29,6812.63,-6812.63
0.291,6868.1,-6868.1
0.291,6867.75,-6867.75
0.291,752.87,-752.87
0.292,6867.8,-6867.8
0.292,283.8,-283.8
0.292,6868.33,-6868.33
0.293,709.8,-709.8
0.293,1855.06,-1855.06
0.293,1411.62,-1411.62
0.294,6868.36,-6868.36
0.294,6867.97,-6867.97
0.294,6868.06,-6868.06
0.295,6868.13,-6868.13
0.295,6868.36,-6868.36
0.295,6868.02,-6868.02
0.296,6867.99,-6867.99
0.296,560.44,-560.44
0.296,6812.29,-6812.29
0.297,308.77,-308.77
0.297,6868.06,-6868.06
0.297,6867.65,-6867.65
0.298,6812.68,-6812.68
0.298,6867.84,-6867.84
0.298,6867.97,-6867.97
0.299,6812.87,-6812.87
0.299,6868.97,-6868.97
0.299,342.4,-342.4
